(0)Date, (1)Time, (2)Framenumber, (3)accX1, (4)accY1, (5)accZ1, (6)gyrX1, (7)gyrY1, (8)gyrZ1, (9)accX2, (10)accY2, (11)accZ2, (12)gyrX2, (13)gyrY2, (14)gyrZ2, (15)accX3, (16)accY3, (17)accZ3, (18)gyrX3, (19)gyrY3, (20)gyrZ3, (21)accX4, (22)accY4, (23)accZ4, (24)gyrX4, (25)gyrY4, (26)gyrZ4, (27)accX5, (28)accY5, (29)accZ5, (30)gyrX5, (31)gyrY5, (32)gyrZ5
2021-01-27,10:27:22,483,-1.0007762908935547, 9.495404243469238, -0.4596867263317108, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.495404243469238, -0.45489832758903503, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9864110946655273, 9.490615844726562, -0.4405331015586853, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -0.9864110946655273, 9.485827445983887, -0.4644751250743866, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.44532153010368347, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:27:24,485,-1.0007762908935547, 9.519346237182617, -0.4596867263317108, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.490615844726562, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.509769439697266, -0.45010992884635925, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.45489832758903503, -0.051082808524370193, -0.004256900865584612, -0.025541404262185097, -0.9911994934082031, 9.495404243469238, -0.44532153010368347, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:27:27,488,-0.9959878921508789, 9.490615844726562, -0.4405331015586853, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.490615844726562, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.45489832758903503, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.50498104095459, -0.45010992884635925, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097
2021-01-27,10:27:29,490,-1.0055646896362305, 9.495404243469238, -0.4596867263317108, -0.05321125686168671, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.44532153010368347, -0.05321125686168671, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.44532153010368347, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.45010992884635925, -0.05001858249306679, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:27:32,493,-0.9911994934082031, 9.495404243469238, -0.45489832758903503, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.509769439697266, -0.45010992884635925, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353, -1.0007762908935547, 9.509769439697266, -0.4596867263317108, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0055646896362305, 9.495404243469238, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:27:38,499,-0.9959878921508789, 9.50498104095459, -0.4405331015586853, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.4644751250743866, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.509769439697266, -0.4405331015586853, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0103530883789062, 9.50498104095459, -0.4644751250743866, -0.051082808524370193, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.490615844726562, -0.45489832758903503, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:27:49,509,-1.0055646896362305, 9.50498104095459, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.509769439697266, -0.45489832758903503, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9864110946655273, 9.495404243469238, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:27:55,515,-1.0055646896362305, 9.495404243469238, -0.45010992884635925, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.45489832758903503, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0103530883789062, 9.50498104095459, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.490615844726562, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:28:03,523,-0.9959878921508789, 9.495404243469238, -0.45010992884635925, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.50498104095459, -0.45010992884635925, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9911994934082031, 9.509769439697266, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.4405331015586853, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9911994934082031, 9.495404243469238, -0.43095630407333374, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097
2021-01-27,10:28:04,524,-0.9959878921508789, 9.50498104095459, -0.44532153010368347, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -0.9911994934082031, 9.509769439697266, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.50498104095459, -0.45489832758903503, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:28:21,541,-1.0007762908935547, 9.50498104095459, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.509769439697266, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.4357447028160095, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.44532153010368347, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:28:27,547,-1.0055646896362305, 9.495404243469238, -0.4692635238170624, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.50498104095459, -0.43095630407333374, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -0.9959878921508789, 9.50498104095459, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.42616790533065796, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0055646896362305, 9.495404243469238, -0.4357447028160095, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:28:29,549,-0.9959878921508789, 9.495404243469238, -0.4357447028160095, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.43095630407333374, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0055646896362305, 9.495404243469238, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.50498104095459, -0.4357447028160095, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:28:39,559,-1.0103530883789062, 9.50498104095459, -0.44532153010368347, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.4357447028160095, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0055646896362305, 9.50498104095459, -0.4357447028160095, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.509769439697266, -0.4213795065879822, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353
2021-01-27,10:28:40,560,-0.9959878921508789, 9.50498104095459, -0.42616790533065796, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.490615844726562, -0.4357447028160095, -0.051082808524370193, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.485827445983887, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.4213795065879822, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -0.9911994934082031, 9.50498104095459, -0.4213795065879822, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097
2021-01-27,10:28:47,567,-0.9959878921508789, 9.50498104095459, -0.43095630407333374, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -1.0055646896362305, 9.50498104095459, -0.43095630407333374, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.4357447028160095, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.50498104095459, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.44532153010368347, -0.05321125686168671, -0.004256900865584612, -0.02447717823088169
2021-01-27,10:29:01,581,-1.0103530883789062, 9.495404243469238, -0.4213795065879822, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.4405331015586853, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.4357447028160095, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353, -1.0103530883789062, 9.495404243469238, -0.4118026793003082, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.495404243469238, -0.4357447028160095, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:29:07,587,-1.0055646896362305, 9.495404243469238, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.4405331015586853, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.50498104095459, -0.42616790533065796, -0.051082808524370193, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.4213795065879822, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.509769439697266, -0.4357447028160095, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:29:09,589,-1.0007762908935547, 9.495404243469238, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.495404243469238, -0.4213795065879822, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.43095630407333374, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.4213795065879822, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:29:12,592,-0.9959878921508789, 9.495404243469238, -0.4357447028160095, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.490615844726562, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.4118026793003082, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.4213795065879822, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -0.9959878921508789, 9.50498104095459, -0.4213795065879822, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097
2021-01-27,10:29:13,593,-1.0007762908935547, 9.50498104095459, -0.4118026793003082, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.4357447028160095, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0055646896362305, 9.50498104095459, -0.4405331015586853, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.514557838439941, -0.42616790533065796, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -1.0055646896362305, 9.50498104095459, -0.43095630407333374, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:29:22,602,-0.9959878921508789, 9.50498104095459, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.015141487121582, 9.50498104095459, -0.4118026793003082, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353, -1.0055646896362305, 9.50498104095459, -0.43095630407333374, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.43095630407333374, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.509769439697266, -0.42616790533065796, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353
1980-01-06,00:00:00,622,-1.0007762908935547, 9.490615844726562, -0.40701428055763245, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.509769439697266, -0.4118026793003082, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.509769439697266, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.495404243469238, -0.4118026793003082, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.50498104095459, -0.42616790533065796, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:29:43,623,-1.0007762908935547, 9.509769439697266, -0.4165911078453064, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.4213795065879822, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -0.9959878921508789, 9.50498104095459, -0.42616790533065796, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.509769439697266, -0.4213795065879822, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.485827445983887, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:29:45,625,-0.9959878921508789, 9.509769439697266, -0.4213795065879822, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -0.9959878921508789, 9.509769439697266, -0.4213795065879822, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.509769439697266, -0.40701428055763245, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0055646896362305, 9.50498104095459, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0055646896362305, 9.50498104095459, -0.4118026793003082, -0.051082808524370193, -0.004256900865584612, -0.026605628430843353
2021-01-27,10:29:52,632,-1.0007762908935547, 9.509769439697266, -0.40701428055763245, -0.05321125686168671, -0.003192675532773137, -0.025541404262185097, -1.0055646896362305, 9.519346237182617, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.495404243469238, -0.4118026793003082, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0055646896362305, 9.514557838439941, -0.4213795065879822, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.509769439697266, -0.4213795065879822, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353
2021-01-27,10:30:05,645,-1.0055646896362305, 9.50498104095459, -0.4213795065879822, -0.051082808524370193, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.50498104095459, -0.4165911078453064, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353, -1.0007762908935547, 9.495404243469238, -0.4165911078453064, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -0.9959878921508789, 9.509769439697266, -0.40701428055763245, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.509769439697266, -0.4118026793003082, -0.051082808524370193, -0.004256900865584612, -0.025541404262185097
2021-01-27,10:30:14,654,-0.9911994934082031, 9.495404243469238, -0.42616790533065796, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.495404243469238, -0.4165911078453064, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.015141487121582, 9.50498104095459, -0.40222588181495667, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.4165911078453064, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0103530883789062, 9.50498104095459, -0.4165911078453064, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:30:29,669,-0.9959878921508789, 9.485827445983887, -0.40701428055763245, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -0.9959878921508789, 9.485827445983887, -0.4165911078453064, -0.0521470308303833, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.485827445983887, -0.40701428055763245, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097, -1.0055646896362305, 9.50498104095459, -0.40701428055763245, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.461885452270508, -0.3974374830722809, -0.0521470308303833, -0.003192675532773137, -0.025541404262185097
2021-01-27,10:30:39,679,-1.0007762908935547, 9.495404243469238, -0.4118026793003082, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -0.9959878921508789, 9.495404243469238, -0.4165911078453064, -0.051082808524370193, -0.003192675532773137, -0.025541404262185097, -0.9911994934082031, 9.50498104095459, -0.40701428055763245, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0103530883789062, 9.50498104095459, -0.4118026793003082, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0055646896362305, 9.495404243469238, -0.4165911078453064, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:30:44,684,-1.0103530883789062, 9.50498104095459, -0.40701428055763245, -0.051082808524370193, -0.004256900865584612, -0.026605628430843353, -1.0103530883789062, 9.495404243469238, -0.4165911078453064, -0.0521470308303833, -0.004256900865584612, -0.026605628430843353, -1.0007762908935547, 9.50498104095459, -0.40222588181495667, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0103530883789062, 9.490615844726562, -0.4165911078453064, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0055646896362305, 9.50498104095459, -0.40222588181495667, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:30:51,691,-1.0007762908935547, 9.50498104095459, -0.4118026793003082, -0.051082808524370193, -0.004256900865584612, -0.025541404262185097, -1.0007762908935547, 9.50498104095459, -0.3974374830722809, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.490615844726562, -0.40222588181495667, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.0103530883789062, 9.50498104095459, -0.3974374830722809, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0103530883789062, 9.495404243469238, -0.40701428055763245, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353
2021-01-27,10:31:05,705,-1.015141487121582, 9.50498104095459, -0.40701428055763245, -0.0521470308303833, -0.003192675532773137, -0.026605628430843353, -1.0007762908935547, 9.495404243469238, -0.40701428055763245, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353, -1.015141487121582, 9.50498104095459, -0.4118026793003082, -0.051082808524370193, -0.004256900865584612, -0.026605628430843353, -1.0055646896362305, 9.495404243469238, -0.3926490843296051, -0.051082808524370193, -0.004256900865584612, -0.026605628430843353, -1.0007762908935547, 9.50498104095459, -0.3926490843296051, -0.051082808524370193, -0.004256900865584612, -0.02766985446214676
