Date,Time,Latitude,Longitude,Altitude,Battery Voltage (V),Sats used,Wind Speed (m/s),Wind Dir (deg),Vertical Speed (m/s),Temperature(deg),Pressure (hPa),Humidity (%),Dew point (deg),variance_accX, variance_accY, variance_accZ, variance_gyrX, variance_gyrY, variance_gyrZ  
2021-01-27,10:37:21,51.022673,7.561795,312.4,2.8,10,0.2,177,0.2,0.0,979.3,92.6,-1.1,0.00558418454437604,0.008238272698559004,0.0038307324051900468,0.0004256889224052429,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:22,51.022674,7.561794,312.7,2.8,10,0.1,359,0.0,0.0,979.2,92.9,-1.0,0.003830718994140625,0.004691653441816077,0.01108595641698266,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:23,51.022673,7.561795,312.6,2.8,10,0.1,11,0.0,0.0,979.3,92.7,-1.0,0.007166629365050591,0.0023458267209080386,0.015619297173446497,0.0004256889224052429,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:37:24,51.022673,7.561794,312.6,2.8,10,0.1,54,0.1,0.1,979.2,92.7,-1.0,0.0019153594970703126,0.004883227725553393,0.004691664391890894,0.0,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:25,51.022673,7.561794,312.6,2.8,9,0.1,177,0.2,0.1,979.2,92.7,-1.0,0.004883227725553393,0.00558418454437604,0.0038307324051900468,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:26,51.022674,7.561794,312.8,2.8,10,0.1,184,0.2,0.1,979.2,93.1,-0.9,0.003830718994140625,0.0023458267209080386,0.0023458413210046387,0.0006730744627924726,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:27,51.022674,7.561795,312.8,2.8,10,0.1,351,0.0,0.1,979.3,93.1,-0.9,0.00558418454437604,0.003583309505270378,0.0035833095052703783,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:28,51.022674,7.561795,312.6,2.8,10,0.1,144,0.2,0.1,979.2,92.7,-0.9,0.004883227725553393,0.004883227725553393,0.004691660741873843,0.0,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:29,51.022675,7.561793,312.7,2.8,10,0.1,93,0.2,0.0,979.2,92.0,-1.1,0.003028449274388396,0.003028449274388396,0.00558418454437604,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:30,51.022675,7.561793,313.0,2.8,10,0.1,210,0.2,0.0,979.3,92.3,-1.1,0.00558418454437604,0.007780227056441718,0.003830718994140625,0.0,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:37:31,51.022676,7.561793,313.1,2.8,9,0.1,219,-0.1,0.0,979.3,92.6,-1.1,0.0035833095052703783,0.004282874036799028,0.006495312376242204,0.0,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:32,51.022675,7.561793,312.9,2.8,10,0.2,22,0.1,0.0,979.2,92.8,-1.0,0.0023458267209080386,0.004691653441816077,0.003028458698719025,0.0,0.0,0.0
2021-01-27,10:37:33,51.022674,7.561793,312.8,2.8,10,0.1,38,-0.1,0.0,979.2,93.0,-1.0,0.004883227725553393,0.005245428011385801,0.010919242213133935,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:34,51.022674,7.561793,313.0,2.8,10,0.1,306,0.1,0.1,979.1,92.8,-0.9,0.004883227725553393,0.0023458267209080386,0.0023458267209080386,0.0005213621495361084,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:35,51.022675,7.561795,312.9,2.8,10,0.2,205,-0.1,0.0,979.2,93.1,-1.0,0.006056898548776792,0.003830718994140625,0.0035833095052703783,0.0004256904125213623,0.0005213618073463443,0.0004256904125213623
