[0]Date,[1]Time,[2]Latitude,[3]Longitude,[4]Altitude,[5]Battery Voltage (V),[6]Sats used,[7]Wind Speed (m/s),[8]Wind Dir (deg),[9]Vertical Speed (m/s),[10]Temperature(deg),[11]Pressure (hPa),[12]Humidity (%),[13]Dew point (deg), [14]accX, [15]accY, [16]accZ, [17]gyrX, [18]gyrY, [19]gyrZ, [20]variance_accX, [21]variance_accY, [22]variance_accZ, [23]variance_gyrX,[24]variance_gyrY,[25]variance_gyrZ 
2021-01-27,10:36:47:20,51.022662,7.561797,310.0,2.8,6,0.5,265,0.1,0.0,979.2,92.9,-1.0, -0.35434186458587646, 9.543288230895996, 0.3974374830722809, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353,0.004691664391890894,0.005746078491210937,0.007037480162724116,0.0,0.0,0.0005213621495361084,
2021-01-27,10:36:47:40,51.022662,7.561797,310.0,2.8,6,0.5,265,0.1,0.0,979.2,92.9,-1.0, -0.35434186458587646, 9.543288230895996, 0.3926490843296051, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353,0.004691664391890894,0.005746078491210937,0.007037480162724116,0.0,0.0,0.0005213621495361084,
2021-01-27,10:36:47:60,51.022662,7.561797,310.0,2.8,6,0.5,265,0.1,0.0,979.2,92.9,-1.0, -0.35434186458587646, 9.528923034667969, 0.3926490843296051, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004691664391890894,0.005746078491210937,0.007037480162724116,0.0,0.0,0.0005213621495361084,
2021-01-27,10:36:47:80,51.022662,7.561797,310.0,2.8,6,0.5,265,0.1,0.0,979.2,92.9,-1.0, -0.3447650372982025, 9.543288230895996, 0.3974374830722809, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004691664391890894,0.005746078491210937,0.007037480162724116,0.0,0.0,0.0005213621495361084,
2021-01-27,10:36:48:00,51.022663,7.561799,310.3,2.8,6,0.1,307,-0.1,0.0,979.3,92.8,-1.0,-0.363918662071228, 9.533711433410645, 0.3926490843296051, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004883237077105045,0.003830718994140625,0.00558418454437604,0.0,0.0004256901331245899,0.0004256904125213623,
2021-01-27,10:36:48:20,51.022663,7.561799,310.3,2.8,6,0.1,307,-0.1,0.0,979.3,92.8,-1.0, -0.35913026332855225, 9.543288230895996, 0.40701428055763245, -0.051082808524370193, -0.004256900865584612, -0.026605628430843353,0.004883237077105045,0.003830718994140625,0.00558418454437604,0.0,0.0004256901331245899,0.0004256904125213623,
2021-01-27,10:36:48:40,51.022663,7.561799,310.3,2.8,6,0.1,307,-0.1,0.0,979.3,92.8,-1.0, -0.35434186458587646, 9.543288230895996, 0.3926490843296051, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004883237077105045,0.003830718994140625,0.00558418454437604,0.0,0.0004256901331245899,0.0004256904125213623,
2021-01-27,10:36:48:60,51.022663,7.561799,310.3,2.8,6,0.1,307,-0.1,0.0,979.3,92.8,-1.0, -0.3495534360408783, 9.543288230895996, 0.3974374830722809, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004883237077105045,0.003830718994140625,0.00558418454437604,0.0,0.0004256901331245899,0.0004256904125213623,
2021-01-27,10:36:48:80,51.022663,7.561799,310.3,2.8,6,0.1,307,-0.1,0.0,979.3,92.8,-1.0, -0.35913026332855225, 9.543288230895996, 0.40222588181495667, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004883237077105045,0.003830718994140625,0.00558418454437604,0.0,0.0004256901331245899,0.0004256904125213623,
2021-01-27,10:36:49:00,51.022664,7.561796,310.9,2.8,10,0.1,134,-0.1,0.0,979.2,93.0,-1.0,-0.35913026332855225, 9.548076629638672, 0.3926490843296051, -0.051082808524370193, -0.004256900865584612, -0.028734078630805016,0.004691653441816077,0.007780227056441718,0.0023458267209080386,0.0005213621495361084,0.0005213618073463443,0.000673075051812123,
